難度,掉落池ID,群組ID,掉落池備註,抽取次數,先抽稀有度,忽略難度,普通物品BP,遺物BP,None有效權重,None比例,Normal有效權重,Normal比例,Rare有效權重,Rare比例,Elite有效權重,Elite比例,Epic有效權重,Epic比例,Legend有效權重,Legend比例,Unique有效權重,Unique比例
Easy,111901,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111901,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111901,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111901,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,111902,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111902,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111902,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111902,111900,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,112000,112000,챕1 - 수상한 틈,5,TRUE,FALSE,9000,750,0,0.00%,4000,45.20%,4000,45.20%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,112000,112000,챕1 - 수상한 틈,5,TRUE,FALSE,9000,750,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,112000,112000,챕1 - 수상한 틈,5,TRUE,FALSE,9000,750,0,0.00%,4000,41.67%,4000,41.67%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,112000,112000,챕1 - 수상한 틈,5,TRUE,FALSE,9000,750,0,0.00%,4000,35.87%,4000,35.87%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,112001,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,112001,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,112001,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,112001,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,112002,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,112002,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,112002,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,112002,112000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,112003,112000,챕1 - 수상한 틈 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,112003,112000,챕1 - 수상한 틈 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,112003,112000,챕1 - 수상한 틈 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,112003,112000,챕1 - 수상한 틈 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,112100,112100,챕1 - 저주받은 결계함,3,TRUE,FALSE,9000,750,0,0.00%,3000,33.90%,5000,56.50%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,112100,112100,챕1 - 저주받은 결계함,3,TRUE,FALSE,9000,750,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,112100,112100,챕1 - 저주받은 결계함,3,TRUE,FALSE,9000,750,0,0.00%,3000,31.25%,5000,52.08%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,112100,112100,챕1 - 저주받은 결계함,3,TRUE,FALSE,9000,750,0,0.00%,3000,26.91%,5000,44.84%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,112101,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,112101,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,112101,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,112101,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,112102,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,112102,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,112102,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,112102,112100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,112200,112200,챕1 - 잡동사니 박스,4,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,112200,112200,챕1 - 잡동사니 박스,4,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,112200,112200,챕1 - 잡동사니 박스,4,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,112200,112200,챕1 - 잡동사니 박스,4,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,112201,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,112201,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,112201,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,112201,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,112202,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,112202,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,112202,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,112202,112200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,112300,112300,챕1 - 특별 의뢰품 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,112300,112300,챕1 - 특별 의뢰품 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,112300,112300,챕1 - 특별 의뢰품 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,112300,112300,챕1 - 특별 의뢰품 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,112301,112300,챕1 - 특별 의뢰품 상자 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,112301,112300,챕1 - 특별 의뢰품 상자 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,112301,112300,챕1 - 특별 의뢰품 상자 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,112301,112300,챕1 - 특별 의뢰품 상자 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,121000,121000,챕1 미니언 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,121000,121000,챕1 미니언 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121000,121000,챕1 미니언 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,121000,121000,챕1 미니언 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,121100,121100,챕1 미니언 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,121100,121100,챕1 미니언 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121100,121100,챕1 미니언 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,121100,121100,챕1 미니언 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,121200,121200,챕1 미니언 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,121200,121200,챕1 미니언 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121200,121200,챕1 미니언 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,121200,121200,챕1 미니언 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,3000,60.00%,2000,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,121300,121300,챕1 일반 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,121300,121300,챕1 일반 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121300,121300,챕1 일반 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,121300,121300,챕1 일반 몬스터 (야생),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,121400,121400,챕1 일반 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,121400,121400,챕1 일반 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121400,121400,챕1 일반 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,121400,121400,챕1 일반 몬스터 (좀비),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,121500,121500,챕1 일반 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,121500,121500,챕1 일반 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121500,121500,챕1 일반 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,121500,121500,챕1 일반 몬스터 (교단),2,TRUE,FALSE,5000,0,0,0.00%,2000,40.00%,3000,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,121600,121600,챕1 엘리트 몬스터 (야생),3,TRUE,FALSE,7000,750,0,0.00%,2000,29.85%,3000,44.78%,1700,25.37%,0,0.00%,0,0.00%,0,0.00%
Normal,121600,121600,챕1 엘리트 몬스터 (야생),3,TRUE,FALSE,7000,750,0,0.00%,2000,28.57%,3000,42.86%,2000,28.57%,0,0.00%,0,0.00%,0,0.00%
Hard,121600,121600,챕1 엘리트 몬스터 (야생),3,TRUE,FALSE,7000,750,0,0.00%,2000,24.39%,3000,36.59%,3200,39.02%,0,0.00%,0,0.00%,0,0.00%
Insane,121600,121600,챕1 엘리트 몬스터 (야생),3,TRUE,FALSE,7000,750,0,0.00%,2000,17.70%,3000,26.55%,6300,55.75%,0,0.00%,0,0.00%,0,0.00%
Easy,121700,121700,챕1 엘리트 몬스터 (좀비),3,TRUE,FALSE,7000,750,0,0.00%,2000,29.85%,3000,44.78%,1700,25.37%,0,0.00%,0,0.00%,0,0.00%
Normal,121700,121700,챕1 엘리트 몬스터 (좀비),3,TRUE,FALSE,7000,750,0,0.00%,2000,28.57%,3000,42.86%,2000,28.57%,0,0.00%,0,0.00%,0,0.00%
Hard,121700,121700,챕1 엘리트 몬스터 (좀비),3,TRUE,FALSE,7000,750,0,0.00%,2000,24.39%,3000,36.59%,3200,39.02%,0,0.00%,0,0.00%,0,0.00%
Insane,121700,121700,챕1 엘리트 몬스터 (좀비),3,TRUE,FALSE,7000,750,0,0.00%,2000,17.70%,3000,26.55%,6300,55.75%,0,0.00%,0,0.00%,0,0.00%
Easy,121800,121800,챕1 엘리트 몬스터 (교단),3,TRUE,FALSE,7000,750,0,0.00%,2000,29.85%,3000,44.78%,1700,25.37%,0,0.00%,0,0.00%,0,0.00%
Normal,121800,121800,챕1 엘리트 몬스터 (교단),3,TRUE,FALSE,7000,750,0,0.00%,2000,28.57%,3000,42.86%,2000,28.57%,0,0.00%,0,0.00%,0,0.00%
Hard,121800,121800,챕1 엘리트 몬스터 (교단),3,TRUE,FALSE,7000,750,0,0.00%,2000,24.39%,3000,36.59%,3200,39.02%,0,0.00%,0,0.00%,0,0.00%
Insane,121800,121800,챕1 엘리트 몬스터 (교단),3,TRUE,FALSE,7000,750,0,0.00%,2000,17.70%,3000,26.55%,6300,55.75%,0,0.00%,0,0.00%,0,0.00%
Easy,121900,121900,챕1 보스 - 다크영,8,TRUE,FALSE,8000,2000,0,0.00%,1000,13.51%,3000,40.54%,3400,45.95%,0,0.00%,0,0.00%,0,0.00%
Normal,121900,121900,챕1 보스 - 다크영,8,TRUE,FALSE,8000,2000,0,0.00%,1000,12.50%,3000,37.50%,4000,50.00%,0,0.00%,0,0.00%,0,0.00%
Hard,121900,121900,챕1 보스 - 다크영,8,TRUE,FALSE,8000,2000,0,0.00%,1000,9.62%,3000,28.85%,6400,61.54%,0,0.00%,0,0.00%,0,0.00%
Insane,121900,121900,챕1 보스 - 다크영,8,TRUE,FALSE,8000,2000,0,0.00%,1000,6.02%,3000,18.07%,12600,75.90%,0,0.00%,0,0.00%,0,0.00%
Easy,121901,121900,챕1 보스 - 다크영 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,121901,121900,챕1 보스 - 다크영 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,121901,121900,챕1 보스 - 다크영 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,121901,121900,챕1 보스 - 다크영 - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,121902,121900,챕1 보스 - 다크영 - 이스터에그,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,121902,121900,챕1 보스 - 다크영 - 이스터에그,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,121902,121900,챕1 보스 - 다크영 - 이스터에그,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,121902,121900,챕1 보스 - 다크영 - 이스터에그,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,122000,122000,챕1 미니보스 - 게걸스러운 토비,6,TRUE,FALSE,9000,750,0,0.00%,2000,23.81%,3000,35.71%,3400,40.48%,0,0.00%,0,0.00%,0,0.00%
Normal,122000,122000,챕1 미니보스 - 게걸스러운 토비,6,TRUE,FALSE,9000,750,0,0.00%,2000,22.22%,3000,33.33%,4000,44.44%,0,0.00%,0,0.00%,0,0.00%
Hard,122000,122000,챕1 미니보스 - 게걸스러운 토비,6,TRUE,FALSE,9000,750,0,0.00%,2000,17.54%,3000,26.32%,6400,56.14%,0,0.00%,0,0.00%,0,0.00%
Insane,122000,122000,챕1 미니보스 - 게걸스러운 토비,6,TRUE,FALSE,9000,750,0,0.00%,2000,11.36%,3000,17.05%,12600,71.59%,0,0.00%,0,0.00%,0,0.00%
Easy,122001,122000,챕1 미니보스 (게걸스러운 토비) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,37.04%,3400,62.96%,0,0.00%,0,0.00%,0,0.00%
Normal,122001,122000,챕1 미니보스 (게걸스러운 토비) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,33.33%,4000,66.67%,0,0.00%,0,0.00%,0,0.00%
Hard,122001,122000,챕1 미니보스 (게걸스러운 토비) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,23.81%,6400,76.19%,0,0.00%,0,0.00%,0,0.00%
Insane,122001,122000,챕1 미니보스 (게걸스러운 토비) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,13.70%,12600,86.30%,0,0.00%,0,0.00%,0,0.00%
Easy,122002,122000,챕1 미니보스 (게걸스러운 토비) - 퀘템 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,122002,122000,챕1 미니보스 (게걸스러운 토비) - 퀘템 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,122002,122000,챕1 미니보스 (게걸스러운 토비) - 퀘템 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,122002,122000,챕1 미니보스 (게걸스러운 토비) - 퀘템 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,122003,122000,챕1 미니보스 (게걸스러운 토비) - 특수 재화 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,122003,122000,챕1 미니보스 (게걸스러운 토비) - 특수 재화 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,122003,122000,챕1 미니보스 (게걸스러운 토비) - 특수 재화 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,122003,122000,챕1 미니보스 (게걸스러운 토비) - 특수 재화 그룹,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,122004,122000,챕1 미니보스 (게걸스러운 토비) - 서브 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,122004,122000,챕1 미니보스 (게걸스러운 토비) - 서브 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,122004,122000,챕1 미니보스 (게걸스러운 토비) - 서브 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,122004,122000,챕1 미니보스 (게걸스러운 토비) - 서브 퀘템,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,122100,122100,챕1 미니보스 - 경찰서장 도노반,6,TRUE,FALSE,9000,750,0,0.00%,2000,23.81%,3000,35.71%,3400,40.48%,0,0.00%,0,0.00%,0,0.00%
Normal,122100,122100,챕1 미니보스 - 경찰서장 도노반,6,TRUE,FALSE,9000,750,0,0.00%,2000,22.22%,3000,33.33%,4000,44.44%,0,0.00%,0,0.00%,0,0.00%
Hard,122100,122100,챕1 미니보스 - 경찰서장 도노반,6,TRUE,FALSE,9000,750,0,0.00%,2000,17.54%,3000,26.32%,6400,56.14%,0,0.00%,0,0.00%,0,0.00%
Insane,122100,122100,챕1 미니보스 - 경찰서장 도노반,6,TRUE,FALSE,9000,750,0,0.00%,2000,11.36%,3000,17.05%,12600,71.59%,0,0.00%,0,0.00%,0,0.00%
Easy,122101,122100,챕1 미니보스 (경찰서장 도노반) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,37.04%,3400,62.96%,0,0.00%,0,0.00%,0,0.00%
Normal,122101,122100,챕1 미니보스 (경찰서장 도노반) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,33.33%,4000,66.67%,0,0.00%,0,0.00%,0,0.00%
Hard,122101,122100,챕1 미니보스 (경찰서장 도노반) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,23.81%,6400,76.19%,0,0.00%,0,0.00%,0,0.00%
Insane,122101,122100,챕1 미니보스 (경찰서장 도노반) - 특성재료,1,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,2000,13.70%,12600,86.30%,0,0.00%,0,0.00%,0,0.00%
Easy,122102,122100,챕1 미니보스 (경찰서장 도노반) - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,122102,122100,챕1 미니보스 (경찰서장 도노반) - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,122102,122100,챕1 미니보스 (경찰서장 도노반) - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,122102,122100,챕1 미니보스 (경찰서장 도노반) - 퀘템 보상,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,122200,122200,챕1 미니보스 - 소울콜렉터,6,TRUE,FALSE,9000,750,0,0.00%,2000,23.81%,3000,35.71%,3400,40.48%,0,0.00%,0,0.00%,0,0.00%
Normal,122200,122200,챕1 미니보스 - 소울콜렉터,6,TRUE,FALSE,9000,750,0,0.00%,2000,22.22%,3000,33.33%,4000,44.44%,0,0.00%,0,0.00%,0,0.00%
Hard,122200,122200,챕1 미니보스 - 소울콜렉터,6,TRUE,FALSE,9000,750,0,0.00%,2000,17.54%,3000,26.32%,6400,56.14%,0,0.00%,0,0.00%,0,0.00%
