難度,怪物ID,怪物名稱,怪物原名,怪物類型,怪物類型原值,怪物分類,怪物分類原值,HP,攻擊,防禦,難度HP倍率%,難度攻擊倍率%,難度防禦倍率%,基礎HP,基礎攻擊,基礎防禦,火抗性%,水抗性%,風抗性%,建議屬性,弱點說明,抗性說明,掉落池ID,掉落池名稱,掉落ID來源,出現設定ID,出現機率,移動速度,攻擊速度,視野距離,背後視野距離,主動技能ID,被動技能ID
Insane,250034,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,600,1.3,1050,240,130,105,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Insane,250035,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,600,1.3,1050,240,130,105,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250001,地下城岩鹽巨岩,던전 암염(고정형) 1챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,125000,챕1 - 채집 대상 몬스터1 1회,125000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250002,地下城岩鹽巨岩,던전 암염(고정형) 1챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,125000,챕1 - 채집 대상 몬스터1 1회,125000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250003,地下城岩鹽巨岩,던전 암염(고정형) 1챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,125000,챕1 - 채집 대상 몬스터1 1회,125000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250004,地下城岩鹽巨岩,던전 암염(고정형) 1챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,125000,챕1 - 채집 대상 몬스터1 1회,125000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250005,地下城岩鹽巨岩,던전 암염(고정형) 1챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,125000,챕1 - 채집 대상 몬스터1 1회,125000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250011,地下城岩鹽巨岩,던전 암염(고정형) 2챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,126000,챕1 - 채집 대상 몬스터2 1회,126000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250012,地下城岩鹽巨岩,던전 암염(고정형) 2챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,126000,챕1 - 채집 대상 몬스터2 1회,126000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250013,地下城岩鹽巨岩,던전 암염(고정형) 2챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,126000,챕1 - 채집 대상 몬스터2 1회,126000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250014,地下城岩鹽巨岩,던전 암염(고정형) 2챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,126000,챕1 - 채집 대상 몬스터2 1회,126000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250015,地下城岩鹽巨岩,던전 암염(고정형) 2챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,126000,챕1 - 채집 대상 몬스터2 1회,126000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250021,地下城岩鹽巨岩,던전 암염(고정형) 3챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250022,地下城岩鹽巨岩,던전 암염(고정형) 3챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250023,地下城岩鹽巨岩,던전 암염(고정형) 3챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250024,地下城岩鹽巨岩,던전 암염(고정형) 3챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250025,地下城岩鹽巨岩,던전 암염(고정형) 3챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250031,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,1.5,1.5,,40010001|70000002
Normal,250032,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250033,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250034,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Normal,250035,地下城岩鹽巨岩,던전 암염(고정형) 4챕터,普通,Normal,機械(Machine),Machine,212.5,0.85,850,85,85,85,250,1,1000,0,0,0,無,無明顯弱點,無明顯抗性,228000,챕2 - 채집 대상 몬스터1 1회,228000:Monster,,,0,1,1.5,1.5,,40010001|70000002
Easy,300015,好奇的八尺鬼神,팔척귀신 2페 (스토리),首領,Boss,幻象(Phantasm),Phantasm,1750,123.75,81.25,70,55,65,2500,225,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,30,30,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Easy,301015,好奇的八尺鬼神,팔척귀신 2페 (1챕터 범용),首領,Boss,幻象(Phantasm),Phantasm,2100,126.5,81.25,70,55,65,3000,230,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,3.6,2.5,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Hard,300015,好奇的八尺鬼神,팔척귀신 2페 (스토리),首領,Boss,幻象(Phantasm),Phantasm,3750,258.75,118.75,150,115,95,2500,225,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,30,30,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Hard,301015,好奇的八尺鬼神,팔척귀신 2페 (1챕터 범용),首領,Boss,幻象(Phantasm),Phantasm,4500,264.5,118.75,150,115,95,3000,230,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,3.6,2.5,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Insane,300015,好奇的八尺鬼神,팔척귀신 2페 (스토리),首領,Boss,幻象(Phantasm),Phantasm,6000,292.5,131.25,240,130,105,2500,225,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,30,30,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Insane,301015,好奇的八尺鬼神,팔척귀신 2페 (1챕터 범용),首領,Boss,幻象(Phantasm),Phantasm,7200,299,131.25,240,130,105,3000,230,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,3.6,2.5,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Normal,300015,好奇的八尺鬼神,팔척귀신 2페 (스토리),首領,Boss,幻象(Phantasm),Phantasm,2125,191.25,106.25,85,85,85,2500,225,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,30,30,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Normal,301015,好奇的八尺鬼神,팔척귀신 2페 (1챕터 범용),首領,Boss,幻象(Phantasm),Phantasm,2550,195.5,106.25,85,85,85,3000,230,125,25,0,-25,風,風 -25%,火 +25%,,,,,,2,1,3.6,2.5,21005011|21005012|21005014|21005015|21005016|21005013|21005017,21005006
Easy,200014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,609,106.7,55.25,70,55,65,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010204,1000,1.2,1,3,1.3,20000403|20000407,40010004
Easy,210014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,609,106.7,55.25,70,55,65,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Easy,240014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,304.5,80.3,55.25,70,55,65,435,146,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Hard,200014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,1305,223.1,80.75,150,115,95,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010204,1000,1.2,1,3,1.3,20000403|20000407,40010004
Hard,210014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,1305,223.1,80.75,150,115,95,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Hard,240014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,652.5,167.9,80.75,150,115,95,435,146,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Insane,200014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,2088,252.2,89.25,240,130,105,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010204,1000,1.2,1,3,1.3,20000403|20000407,40010004
Insane,210014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,2088,252.2,89.25,240,130,105,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Insane,240014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,1044,189.8,89.25,240,130,105,435,146,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Normal,200014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,739.5,164.9,72.25,85,85,85,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010204,1000,1.2,1,3,1.3,20000403|20000407,40010004
Normal,210014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,739.5,164.9,72.25,85,85,85,870,194,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Normal,240014,安全帽殭屍,좀비(안전모),普通,Normal,褻瀆(Blasphemy),Blasphemy,369.75,124.1,72.25,85,85,85,435,146,85,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1,1,3,2.5,20000403|20000407,
Easy,310051,次元漂泊者，謎語,"차원 유랑자, 에니그마",小首領,MiniBoss,人類(Human),Human,6440,122.1,70.85,70,55,65,9200,222,109,-25,0,25,火,火 -25%,風 +25%,226200,"챕2 미니보스 - 차원 유랑자, 에니그마",226200:MonsterSpawn,31005101 / 31200401,100 / 100,1.4,1,3.5,1.6,21000530|21000531|21000532|21000533|21000534|21000535|21000536|21000537|21000538,
Hard,310051,次元漂泊者，謎語,"차원 유랑자, 에니그마",小首領,MiniBoss,人類(Human),Human,13800,255.3,103.55,150,115,95,9200,222,109,-25,0,25,火,火 -25%,風 +25%,226200,"챕2 미니보스 - 차원 유랑자, 에니그마",226200:MonsterSpawn,31005101 / 31200401,100 / 100,1.4,1,3.5,1.6,21000530|21000531|21000532|21000533|21000534|21000535|21000536|21000537|21000538,
Insane,310051,次元漂泊者，謎語,"차원 유랑자, 에니그마",小首領,MiniBoss,人類(Human),Human,22080,288.6,114.45,240,130,105,9200,222,109,-25,0,25,火,火 -25%,風 +25%,226200,"챕2 미니보스 - 차원 유랑자, 에니그마",226200:MonsterSpawn,31005101 / 31200401,100 / 100,1.4,1,3.5,1.6,21000530|21000531|21000532|21000533|21000534|21000535|21000536|21000537|21000538,
Normal,310051,次元漂泊者，謎語,"차원 유랑자, 에니그마",小首領,MiniBoss,人類(Human),Human,7820,188.7,92.65,85,85,85,9200,222,109,-25,0,25,火,火 -25%,風 +25%,226200,"챕2 미니보스 - 차원 유랑자, 에니그마",226200:MonsterSpawn,31005101 / 31200401,100 / 100,1.4,1,3.5,1.6,21000530|21000531|21000532|21000533|21000534|21000535|21000536|21000537|21000538,
Easy,310062,灰燼祝福，坎布斯,"잿빛 축복, 크람푸스",小首領,MiniBoss,人類(Human),Human,5775,126.5,70.85,70,55,65,8250,230,109,-25,25,0,火,火 -25%,水 +25%,227300,"챕2 미니보스 - 잿빛 축복, 크람푸스",227300:MonsterSpawn,31006201,100,1.2,1,3.5,1.5,21000610|21000611|21000614|21000615,21000613
Hard,310062,灰燼祝福，坎布斯,"잿빛 축복, 크람푸스",小首領,MiniBoss,人類(Human),Human,12375,264.5,103.55,150,115,95,8250,230,109,-25,25,0,火,火 -25%,水 +25%,227300,"챕2 미니보스 - 잿빛 축복, 크람푸스",227300:MonsterSpawn,31006201,100,1.2,1,3.5,1.5,21000610|21000611|21000614|21000615,21000613
Insane,310062,灰燼祝福，坎布斯,"잿빛 축복, 크람푸스",小首領,MiniBoss,人類(Human),Human,19800,299,114.45,240,130,105,8250,230,109,-25,25,0,火,火 -25%,水 +25%,227300,"챕2 미니보스 - 잿빛 축복, 크람푸스",227300:MonsterSpawn,31006201,100,1.2,1,3.5,1.5,21000610|21000611|21000614|21000615,21000613
Normal,310062,灰燼祝福，坎布斯,"잿빛 축복, 크람푸스",小首領,MiniBoss,人類(Human),Human,7012.5,195.5,92.65,85,85,85,8250,230,109,-25,25,0,火,火 -25%,水 +25%,227300,"챕2 미니보스 - 잿빛 축복, 크람푸스",227300:MonsterSpawn,31006201,100,1.2,1,3.5,1.5,21000610|21000611|21000614|21000615,21000613
Easy,900006,米歐的恐懼,미오(그림자),Shadow,Shadow,幻象(Phantasm),Phantasm,1015,115.5,50.7,70,55,65,1450,210,78,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,2.5,1,30,30,29000007,
Hard,900006,米歐的恐懼,미오(그림자),Shadow,Shadow,幻象(Phantasm),Phantasm,2175,241.5,74.1,150,115,95,1450,210,78,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,2.5,1,30,30,29000007,
Insane,900006,米歐的恐懼,미오(그림자),Shadow,Shadow,幻象(Phantasm),Phantasm,3480,273,81.9,240,130,105,1450,210,78,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,2.5,1,30,30,29000007,
Normal,900006,米歐的恐懼,미오(그림자),Shadow,Shadow,幻象(Phantasm),Phantasm,1232.5,178.5,66.3,85,85,85,1450,210,78,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,2.5,1,30,30,29000007,
Easy,200043,艾爾奎羅,엘 쿠에로,普通,Normal,異界(Eldritch),Eldritch,770,112.75,50.7,70,55,65,1100,205,78,-25,25,0,火,火 -25%,水 +25%,,,,,,1.4,1,3.5,1.4,20002001|20002002,
Hard,200043,艾爾奎羅,엘 쿠에로,普通,Normal,異界(Eldritch),Eldritch,1650,235.75,74.1,150,115,95,1100,205,78,-25,25,0,火,火 -25%,水 +25%,,,,,,1.4,1,3.5,1.4,20002001|20002002,
Insane,200043,艾爾奎羅,엘 쿠에로,普通,Normal,異界(Eldritch),Eldritch,2640,266.5,81.9,240,130,105,1100,205,78,-25,25,0,火,火 -25%,水 +25%,,,,,,1.4,1,3.5,1.4,20002001|20002002,
Normal,200043,艾爾奎羅,엘 쿠에로,普通,Normal,異界(Eldritch),Eldritch,935,174.25,66.3,85,85,85,1100,205,78,-25,25,0,火,火 -25%,水 +25%,,,,,,1.4,1,3.5,1.4,20002001|20002002,
Easy,310014,弄丟眼鏡的朴先生,안경을 잃어버린 박선생,小首領,MiniBoss,褻瀆(Blasphemy),Blasphemy,5740,125.4,70.85,70,55,65,8200,228,109,-25,0,0,火,火 -25%,無明顯抗性,122800,챕1 미니보스 - 안경을 잃어버린 박선생,122800:MonsterSpawn,31001401 / 31100301,100 / 100,1.5,1,3.5,1.6,21000074|21000075,
Hard,310014,弄丟眼鏡的朴先生,안경을 잃어버린 박선생,小首領,MiniBoss,褻瀆(Blasphemy),Blasphemy,12300,262.2,103.55,150,115,95,8200,228,109,-25,0,0,火,火 -25%,無明顯抗性,122800,챕1 미니보스 - 안경을 잃어버린 박선생,122800:MonsterSpawn,31001401 / 31100301,100 / 100,1.5,1,3.5,1.6,21000074|21000075,
Insane,310014,弄丟眼鏡的朴先生,안경을 잃어버린 박선생,小首領,MiniBoss,褻瀆(Blasphemy),Blasphemy,19680,296.4,114.45,240,130,105,8200,228,109,-25,0,0,火,火 -25%,無明顯抗性,122800,챕1 미니보스 - 안경을 잃어버린 박선생,122800:MonsterSpawn,31001401 / 31100301,100 / 100,1.5,1,3.5,1.6,21000074|21000075,
Normal,310014,弄丟眼鏡的朴先生,안경을 잃어버린 박선생,小首領,MiniBoss,褻瀆(Blasphemy),Blasphemy,6970,193.8,92.65,85,85,85,8200,228,109,-25,0,0,火,火 -25%,無明顯抗性,122800,챕1 미니보스 - 안경을 잃어버린 박선생,122800:MonsterSpawn,31001401 / 31100301,100 / 100,1.5,1,3.5,1.6,21000074|21000075,
Easy,310008,快樂死神兔,해피 데스 버니,小首領,MiniBoss,人類(Human),Human,6440,126.5,70.85,70,55,65,9200,230,109,0,-25,0,水,水 -25%,無明顯抗性,123200,챕1 미니보스 - 해피 데스 버니,123200:MonsterSpawn,31000801 / 31100701,100 / 100,1,1,3.5,1.5,21000100|21000101|21000102|21000103|21000104|21000105|21000106,
Hard,310008,快樂死神兔,해피 데스 버니,小首領,MiniBoss,人類(Human),Human,13800,264.5,103.55,150,115,95,9200,230,109,0,-25,0,水,水 -25%,無明顯抗性,123200,챕1 미니보스 - 해피 데스 버니,123200:MonsterSpawn,31000801 / 31100701,100 / 100,1,1,3.5,1.5,21000100|21000101|21000102|21000103|21000104|21000105|21000106,
Insane,310008,快樂死神兔,해피 데스 버니,小首領,MiniBoss,人類(Human),Human,22080,299,114.45,240,130,105,9200,230,109,0,-25,0,水,水 -25%,無明顯抗性,123200,챕1 미니보스 - 해피 데스 버니,123200:MonsterSpawn,31000801 / 31100701,100 / 100,1,1,3.5,1.5,21000100|21000101|21000102|21000103|21000104|21000105|21000106,
Normal,310008,快樂死神兔,해피 데스 버니,小首領,MiniBoss,人類(Human),Human,7820,195.5,92.65,85,85,85,9200,230,109,0,-25,0,水,水 -25%,無明顯抗性,123200,챕1 미니보스 - 해피 데스 버니,123200:MonsterSpawn,31000801 / 31100701,100 / 100,1,1,3.5,1.5,21000100|21000101|21000102|21000103|21000104|21000105|21000106,
Easy,310056,沉默凝視的阿拉克涅,"접합된 시선, 아라크네",小首領,MiniBoss,機械(Machine),Machine,6090,128.15,70.85,70,55,65,8700,233,109,0,-25,0,水,水 -25%,無明顯抗性,226700,"챕2 미니보스 - 접합된 시선, 아라크네",226700:MonsterSpawn,31005601 / 31200502,100 / 100,1.3,1,3.5,1.6,21000560|21000561|21000562|21000563|21000564|21000565,
Hard,310056,沉默凝視的阿拉克涅,"접합된 시선, 아라크네",小首領,MiniBoss,機械(Machine),Machine,13050,267.95,103.55,150,115,95,8700,233,109,0,-25,0,水,水 -25%,無明顯抗性,226700,"챕2 미니보스 - 접합된 시선, 아라크네",226700:MonsterSpawn,31005601 / 31200502,100 / 100,1.3,1,3.5,1.6,21000560|21000561|21000562|21000563|21000564|21000565,
Insane,310056,沉默凝視的阿拉克涅,"접합된 시선, 아라크네",小首領,MiniBoss,機械(Machine),Machine,20880,302.9,114.45,240,130,105,8700,233,109,0,-25,0,水,水 -25%,無明顯抗性,226700,"챕2 미니보스 - 접합된 시선, 아라크네",226700:MonsterSpawn,31005601 / 31200502,100 / 100,1.3,1,3.5,1.6,21000560|21000561|21000562|21000563|21000564|21000565,
Normal,310056,沉默凝視的阿拉克涅,"접합된 시선, 아라크네",小首領,MiniBoss,機械(Machine),Machine,7395,198.05,92.65,85,85,85,8700,233,109,0,-25,0,水,水 -25%,無明顯抗性,226700,"챕2 미니보스 - 접합된 시선, 아라크네",226700:MonsterSpawn,31005601 / 31200502,100 / 100,1.3,1,3.5,1.6,21000560|21000561|21000562|21000563|21000564|21000565,
Easy,310054,巡邏者，代號零,"부패한 순찰자, 코드 제로",小首領,MiniBoss,機械(Machine),Machine,6580,129.25,70.85,70,55,65,9400,235,109,0,-25,0,水,水 -25%,無明顯抗性,226500,"챕2 미니보스 - 부패한 순찰자, 코드 제로",226500:MonsterSpawn,31005401 / 31200302,100 / 100,1.5,1,3.5,1.6,21000520|21000521|21000522|21000523|21000524|21000525|21000526,
Hard,310054,巡邏者，代號零,"부패한 순찰자, 코드 제로",小首領,MiniBoss,機械(Machine),Machine,14100,270.25,103.55,150,115,95,9400,235,109,0,-25,0,水,水 -25%,無明顯抗性,226500,"챕2 미니보스 - 부패한 순찰자, 코드 제로",226500:MonsterSpawn,31005401 / 31200302,100 / 100,1.5,1,3.5,1.6,21000520|21000521|21000522|21000523|21000524|21000525|21000526,
Insane,310054,巡邏者，代號零,"부패한 순찰자, 코드 제로",小首領,MiniBoss,機械(Machine),Machine,22560,305.5,114.45,240,130,105,9400,235,109,0,-25,0,水,水 -25%,無明顯抗性,226500,"챕2 미니보스 - 부패한 순찰자, 코드 제로",226500:MonsterSpawn,31005401 / 31200302,100 / 100,1.5,1,3.5,1.6,21000520|21000521|21000522|21000523|21000524|21000525|21000526,
Normal,310054,巡邏者，代號零,"부패한 순찰자, 코드 제로",小首領,MiniBoss,機械(Machine),Machine,7990,199.75,92.65,85,85,85,9400,235,109,0,-25,0,水,水 -25%,無明顯抗性,226500,"챕2 미니보스 - 부패한 순찰자, 코드 제로",226500:MonsterSpawn,31005401 / 31200302,100 / 100,1.5,1,3.5,1.6,21000520|21000521|21000522|21000523|21000524|21000525|21000526,
Easy,200007,邪教信徒,평사도,普通,Normal,人類(Human),Human,700,114.4,50.7,70,55,65,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,121200,챕1 미니언 몬스터 (교단),121200:MonsterSpawn,20010301,6000,1.8,1,3.5,1.4,20000600|20000050|20000601,
Easy,210007,邪教信徒,평사도,普通,Normal,人類(Human),Human,700,114.4,50.7,70,55,65,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Easy,220007,邪教信徒,평사도(퀘),普通,Normal,人類(Human),Human,700,114.4,50.7,70,55,65,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,3.5,1.4,20000600|20000050|20000601,
Easy,240007,邪教信徒,평사도,普通,Normal,人類(Human),Human,350,85.8,50.7,70,55,65,500,156,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Hard,200007,邪教信徒,평사도,普通,Normal,人類(Human),Human,1500,239.2,74.1,150,115,95,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,121200,챕1 미니언 몬스터 (교단),121200:MonsterSpawn,20010301,6000,1.8,1,3.5,1.4,20000600|20000050|20000601,
Hard,210007,邪教信徒,평사도,普通,Normal,人類(Human),Human,1500,239.2,74.1,150,115,95,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Hard,220007,邪教信徒,평사도(퀘),普通,Normal,人類(Human),Human,1500,239.2,74.1,150,115,95,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,3.5,1.4,20000600|20000050|20000601,
Hard,240007,邪教信徒,평사도,普通,Normal,人類(Human),Human,750,179.4,74.1,150,115,95,500,156,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Insane,200007,邪教信徒,평사도,普通,Normal,人類(Human),Human,2400,270.4,81.9,240,130,105,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,121200,챕1 미니언 몬스터 (교단),121200:MonsterSpawn,20010301,6000,1.8,1,3.5,1.4,20000600|20000050|20000601,
Insane,210007,邪教信徒,평사도,普通,Normal,人類(Human),Human,2400,270.4,81.9,240,130,105,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Insane,220007,邪教信徒,평사도(퀘),普通,Normal,人類(Human),Human,2400,270.4,81.9,240,130,105,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,3.5,1.4,20000600|20000050|20000601,
Insane,240007,邪教信徒,평사도,普通,Normal,人類(Human),Human,1200,202.8,81.9,240,130,105,500,156,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Normal,200007,邪教信徒,평사도,普通,Normal,人類(Human),Human,850,176.8,66.3,85,85,85,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,121200,챕1 미니언 몬스터 (교단),121200:MonsterSpawn,20010301,6000,1.8,1,3.5,1.4,20000600|20000050|20000601,
Normal,210007,邪教信徒,평사도,普通,Normal,人類(Human),Human,850,176.8,66.3,85,85,85,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
Normal,220007,邪教信徒,평사도(퀘),普通,Normal,人類(Human),Human,850,176.8,66.3,85,85,85,1000,208,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,3.5,1.4,20000600|20000050|20000601,
Normal,240007,邪教信徒,평사도,普通,Normal,人類(Human),Human,425,132.6,66.3,85,85,85,500,156,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,2,1,3.5,2.5,20000600|20000050|20000601,
